Date,Open,High,Low,Price_USD,Volume,USD_Index,Inflation_Rate,Interest_Rate
2000-01-03,280.18,281.0,279.19,280.19,107168,120.0,2.64,3.94
2000-01-04,280.88,281.21,278.73,280.14,135551,119.5,1.78,3.98
2000-01-05,281.19,281.94,280.48,280.79,78081,116.92,2.78,3.66
2000-01-06,283.43,284.2,280.43,282.21,103527,113.81,2.5,3.83
2000-01-07,281.68,283.12,281.11,282.07,93135,119.4,2.12,3.66
2000-01-10,281.7,282.28,280.47,282.07,191941,120.0,2.3,4.05
2000-01-11,282.44,285.2,281.7,283.54,138776,119.87,2.04,4.0
2000-01-12,283.94,284.54,283.74,284.3,125952,114.83,2.29,4.11
2000-01-13,284.78,284.93,281.55,283.96,49678,115.11,2.75,4.13
2000-01-14,285.62,285.9,283.76,284.51,105781,120.0,2.05,4.16
2000-01-17,285.12,287.76,281.88,284.3,92780,114.23,2.15,3.98
2000-01-18,282.43,283.98,279.49,283.96,92460,118.46,2.02,4.03
2000-01-19,285.17,285.52,282.84,284.25,52819,112.81,2.06,4.1
2000-01-20,281.05,283.19,277.85,282.61,63888,116.57,2.11,3.9
2000-01-21,281.91,283.21,281.07,281.15,96066,118.84,1.94,3.88
2000-01-24,280.55,281.84,279.43,280.85,154159,117.32,2.15,4.25
2000-01-25,280.62,281.48,279.91,280.03,77947,118.73,2.23,3.75
2000-01-26,279.26,282.59,277.71,280.38,84122,114.35,2.12,4.1
2000-01-27,280.63,282.19,278.72,279.65,201276,115.39,1.64,4.08
2000-01-28,277.26,279.98,275.37,278.48,87664,118.69,2.18,3.86
2000-01-31,279.41,280.93,278.11,279.97,93759,119.17,2.21,3.93
2000-02-01,279.0,280.58,278.55,279.84,94268,117.98,2.69,3.98
2000-02-02,278.5,280.63,278.43,279.97,57629,119.79,2.23,4.06
2000-02-03,278.87,279.38,277.82,278.79,124084,113.33,2.45,4.08
2000-02-04,279.89,280.68,278.13,278.38,76027,116.33,2.12,4.03
2000-02-07,280.91,281.99,278.61,278.68,97535,120.0,2.55,4.06
2000-02-08,277.82,277.93,277.65,277.74,117918,120.0,1.99,4.13
2000-02-09,279.07,279.16,276.65,278.14,214705,119.08,2.35,4.13
2000-02-10,277.88,278.4,277.32,277.69,58272,117.13,2.44,4.27
2000-02-11,277.92,278.55,276.47,277.5,139524,120.0,2.4,4.19
2000-02-14,276.89,278.48,275.93,277.18,139733,118.61,2.77,4.04
2000-02-15,279.03,280.47,278.14,278.87,76474,113.68,2.08,4.14
2000-02-16,279.38,279.4,277.36,278.93,125467,119.96,2.58,4.11
